transaction_id,transaction_date,sender_account,sender_name,sender_npwp,receiver_account,receiver_name,receiver_npwp,amount_idr,transaction_type,description,bank_code,channel,currency,pattern_type,risk_score,is_flagged,reporting_threshold_flag,cross_border
TXN_000015,2025-03-09 03:52:16,0146334045692,Sari Kusuma,84.741.298.3-563.588,0088980870918,Eko Wibowo,36.733.685.7-592.559,1851455,LOAN_PAYMENT,Transfer dari Sari Kusuma ke Eko Wibowo,009,INTERNET_BANKING,IDR,legitimate,15,False,False,False
TXN_000016,2025-02-21 23:14:17,CORP_PT_0071_001,PTGUNUNG SYNAJI,97.611.140.8-421.959,CORP_SH_0012_001,UD CAHAYA MANDIRI,14.275.216.8-603.906,48382076,WITHDRAWAL,Transfer dari PTGUNUNG SYNAJI ke UD CAHAYA MANDIRI,013,INTERNET_BANKING,IDR,suspicious_structuring,100,True,False,False
TXN_000017,2023-03-08 18:20:00,CORP_PT_0025_001,PT. SURYA MAS CITRA PERKASA,22.459.101.8-894.394,CORP_SH_0004_001,PT OMEGA PRIMA,14.169.469.4-148.900,736175702,INTER_COMPANY_TRANSFER,Transfer antar perusahaan grup,013,INTERNET_BANKING,IDR,layering,100,True,True,False
TXN_000018,2024-12-16 10:37:13,CORP_PT_0062_001,PT. IRMASULINDO BLOK 2,23.256.643.5-285.409,CORP_SH_0023_001,UD HARAPAN BARU,26.903.405.2-441.862,4261634865,FOREIGN_EXCHANGE,Transaksi valuta asing untuk ekspor,009,INTERNET_BANKING,IDR,suspicious_large,100,True,True,False
TXN_000019,2024-07-26 09:35:38,0089398065824,Fitri Wibowo,19.206.740.6-386.603,0144497350578,Gina Pratama,86.728.181.9-897.897,4104894,SUPPLIER_PAYMENT,Pembayaran supplier untuk Gina Pratama,009,INTERNET_BANKING,IDR,legitimate,10,False,False,False
TXN_000020,2024-09-22 11:46:08,0198754477688,Gina Gunawan,71.631.962.6-671.839,CORP_PT_0053_001,PT. Bumi Tani Jaya,85.991.691.5-118.303,26357995,TAX_PAYMENT,Pembayaran pajak perusahaan,011,BRANCH,IDR,legitimate,5,False,False,False
TXN_000021,2024-06-27 04:54:11,CORP_PT_0067_001,PT. HASFARM NAPU,71.108.110.4-799.194,CORP_PT_0038_001,PT. Damit Mitra Sekawan,88.551.356.8-754.940,46202663,WITHDRAWAL,Transfer dari PT. HASFARM NAPU ke PT. Damit Mitra Sekawan,009,MOBILE_BANKING,IDR,suspicious_structuring,99,True,False,False
TXN_000022,2024-11-01 05:29:29,0191702597075,Gina Wijaya,43.248.630.7-835.239,0115237491767,Ahmad Gunawan,62.192.182.1-132.371,20944848,SALARY_PAYMENT,Pembayaran gaji karyawan dari Gina Wijaya,008,ATM,IDR,legitimate,5,False,False,False
TXN_000023,2025-04-29 00:19:25,0142219809850,Joko Gunawan,40.330.392.1-403.356,0146334045692,Sari Kusuma,84.741.298.3-563.588,30742930,LOAN_PAYMENT,Transfer dari Joko Gunawan ke Sari Kusuma,009,RTGS,IDR,legitimate,15,False,False,False
TXN_000024,2025-05-24 05:58:44,CORP_PT_0073_001,PT. Naga Manis Plantation,25.968.665.3-720.386,CORP_SH_0012_001,UD CAHAYA MANDIRI,14.275.216.8-603.906,2630126991,INVESTMENT,Investasi/penyertaan modal,014,RTGS,IDR,suspicious_large,100,True,True,True
TXN_000025,2025-05-16 21:00:57,0088053151310,Eko Pratama,39.793.549.6-355.317,0146506548414,Budi Kusuma,30.616.971.8-506.321,5700327,SALARY_PAYMENT,Pembayaran gaji karyawan dari Eko Pratama,008,INTERNET_BANKING,IDR,legitimate,5,False,False,False
TXN_000026,2024-11-11 09:07:58,0141510166503,Sari Wijaya,20.956.183.9-148.427,0142219809850,Joko Gunawan,40.330.392.1-403.356,25081343,TAX_PAYMENT,Pembayaran pajak perusahaan,009,BRANCH,IDR,legitimate,5,False,False,False
TXN_000027,2024-03-23 13:36:00,CORP_PT_0044_001,PT. Kaliau Mas Perkasa,75.357.348.1-322.619,CORP_PT_0035_001,PT. BORNEO EKA SAWIT TANGGUH,22.318.405.7-351.158,2614436661,LARGE_TRANSFER,Transfer dana operasional ke PT. BORNEO EKA SAWIT TANGGUH,009,MOBILE_BANKING,IDR,suspicious_large,100,True,True,False
TXN_000028,2023-04-11 15:51:00,CORP_PT_0034_001,PT. RIMBA SAWIT UTAMA PLANINDO,55.634.239.8-429.531,CORP_SH_0002_001,UD HARAPAN BARU,55.723.617.3-802.898,2020696971,LARGE_TRANSFER,Transfer dana operasional ke UD HARAPAN BARU,008,ATM,IDR,suspicious_large,100,True,True,False
TXN_000029,2024-10-18 22:42:34,0226161158247,Dewi Putra,18.464.413.7-824.307,0098987473743,Gina Wibowo,76.711.775.9-697.145,40200906,UTILITY_PAYMENT,Transfer dari Dewi Putra ke Gina Wibowo,008,ATM,IDR,legitimate,15,False,False,False
TXN_000030,2025-05-22 06:38:13,CORP_PT_0030_001,PT. PULANG PISAU PERDANA,73.119.813.7-569.466,CORP_SH_0023_001,UD HARAPAN BARU,26.903.405.2-441.862,45801251,TRANSFER,Transfer dari PT. PULANG PISAU PERDANA ke UD HARAPAN BARU,014,BRANCH,IDR,suspicious_structuring,100,True,False,False
TXN_000031,2023-10-21 08:40:00,CORP_PT_0047_001,PT. Wira Karya Nusantari,91.741.233.6-691.532,CORP_PT_0038_001,PT. Damit Mitra Sekawan,88.551.356.8-754.940,4482577912,FOREIGN_EXCHANGE,Transaksi valuta asing untuk ekspor,008,BRANCH,IDR,suspicious_large,100,True,True,False
TXN_000032,2024-09-25 16:18:53,CORP_PT_0040_001,PT. Inti Gerak Maju,54.440.496.7-146.146,0132756610488,Dewi Kusuma,29.236.177.2-360.623,45360102,CASH_DEPOSIT,Setoran tunai ke rekening perusahaan,013,MOBILE_BANKING,IDR,suspicious_structuring,97,True,False,False
TXN_000033,2024-07-06 02:15:45,CORP_PT_0034_001,PT. RIMBA SAWIT UTAMA PLANINDO,55.634.239.8-429.531,CORP_SH_0020_001,CV FAJAR CEMERLANG,59.613.394.5-640.247,47894705,WITHDRAWAL,Transfer dari PT. RIMBA SAWIT UTAMA PLANINDO ke CV FAJAR CEMERLANG,008,MOBILE_BANKING,IDR,suspicious_structuring,100,True,False,False
TXN_000034,2024-10-12 00:57:01,0094453763889,Budi Wijaya,95.269.620.3-372.214,CORP_PT_0053_001,PT. Bumi Tani Jaya,85.991.691.5-118.303,5680057,TAX_PAYMENT,Pembayaran pajak perusahaan,009,INTERNET_BANKING,IDR,legitimate,5,False,False,False
TXN_000035,2024-12-28 18:54:59,CORP_PT_0032_001,PT. GLOBALINDO AGUNG LESTARI,72.701.260.3-864.930,0112420833403,Hadi Putra,78.326.921.3-986.170,18690559,SALARY_PAYMENT,Pembayaran gaji karyawan dari PT. GLOBALINDO AGUNG LESTARI,009,MOBILE_BANKING,IDR,legitimate,10,False,False,False
TXN_000036,2024-04-11 09:15:00,CORP_PT_0011_001,PT. Batu Sempit Sawit Indonesia,33.279.401.9-855.278,CORP_SH_0007_001,CV KARYA UTAMA,66.269.514.6-907.512,1453595597,LARGE_TRANSFER,Transfer dana operasional ke CV KARYA UTAMA,013,BRANCH,IDR,suspicious_large,100,True,True,False
TXN_000037,2024-03-27 10:23:00,CORP_PT_0037_001,PT. Kintap Jaya Wattindo,70.297.523.3-669.314,CORP_SH_0025_001,UD CAHAYA MANDIRI,30.130.601.3-205.699,3729341176,INVESTMENT,Investasi/penyertaan modal,013,BRANCH,IDR,suspicious_large,100,True,True,False
TXN_000038,2025-04-15 18:02:14,CORP_PT_0068_001,PT. KURNIA LUWUK SEJATI,83.834.851.5-664.921,0117815794619,Indra Pratama,34.876.647.1-490.625,47501549,CASH_DEPOSIT,Setoran tunai ke rekening perusahaan,009,ATM,IDR,suspicious_structuring,100,True,False,False
TXN_000039,2024-10-29 09:18:11,CORP_PT_0015_001,PT. Wara Nusantara,19.186.207.2-235.997,CORP_SH_0025_001,UD CAHAYA MANDIRI,30.130.601.3-205.699,1055377152,LOAN_ADVANCE,Pinjaman/advance kepada UD CAHAYA MANDIRI,009,ATM,IDR,layering,100,True,True,False
TXN_000040,2023-10-27 09:57:00,CORP_PT_0049_001,PT. Kayung Agro Lestari,61.562.335.8-730.452,CORP_PT_0050_001,PT. Jalin Vaneo,21.808.866.2-399.954,2790800782,LARGE_TRANSFER,Transfer dana operasional ke PT. Jalin Vaneo,009,ATM,IDR,suspicious_large,100,True,True,False
TXN_000041,2024-10-07 17:05:44,CORP_PT_0026_001,PT. BERKAH ALAM FAJAR MAS,59.858.209.5-189.315,CORP_SH_0015_001,UD PRIMA SEJAHTERA,88.405.167.4-977.670,47160218,WITHDRAWAL,Transfer dari PT. BERKAH ALAM FAJAR MAS ke UD PRIMA SEJAHTERA,011,BRANCH,IDR,suspicious_structuring,100,True,False,False
TXN_000042,2025-03-10 07:38:49,CORP_PT_0043_001,PT. Natuna Inti Makmur,52.628.660.9-833.941,0199204776449,Ahmad Santoso,67.979.800.2-652.428,34533232,LOAN_PAYMENT,Transfer dari PT. Natuna Inti Makmur ke Ahmad Santoso,014,INTERNET_BANKING,IDR,legitimate,19,False,False,False
TXN_000043,2024-12-22 15:48:12,0131072057597,Dewi Wibowo,84.585.212.6-287.153,0134239066512,Budi Kusuma,85.282.547.9-425.497,39717863,TAX_PAYMENT,Pembayaran pajak perusahaan,008,BRANCH,IDR,legitimate,5,False,False,False
TXN_000044,2024-11-14 08:47:16,CORP_PT_0011_001,PT. Batu Sempit Sawit Indonesia,33.279.401.9-855.278,CORP_PT_0077_001,PT. INCASI RAYA,90.842.907.8-942.904,19315450,SALARY_PAYMENT,Pembayaran gaji karyawan dari PT. Batu Sempit Sawit Indonesia,011,BRANCH,IDR,legitimate,14,False,False,False
TXN_000045,2025-03-29 18:49:04,0226161158247,Dewi Putra,18.464.413.7-824.307,0198420552132,Dewi Santoso,17.924.494.6-164.933,26639111,SUPPLIER_PAYMENT,Pembayaran supplier untuk Dewi Santoso,011,BRANCH,IDR,legitimate,10,False,False,False
TXN_000046,2024-10-18 16:20:17,CORP_PT_0036_001,PT. Malindo Jaya Diraja,47.668.664.9-197.739,0165689271687,Ahmad Wijaya,76.924.590.4-150.970,48849472,CASH_DEPOSIT,Setoran tunai ke rekening perusahaan,008,MOBILE_BANKING,IDR,suspicious_structuring,99,True,False,False
TXN_000047,2025-01-26 20:58:59,CORP_PT_0003_001,PT. Dewi Anthika Bahari,56.295.933.8-863.628,CORP_SH_0012_001,UD CAHAYA MANDIRI,14.275.216.8-603.906,1981193780,FOREIGN_EXCHANGE,Transaksi valuta asing untuk ekspor,013,MOBILE_BANKING,IDR,suspicious_large,100,True,True,False
TXN_000048,2024-12-18 20:28:49,CORP_PT_0030_001,PT. PULANG PISAU PERDANA,73.119.813.7-569.466,CORP_SH_0011_001,CV BERKAH NUSANTARA,38.517.787.2-494.848,563162224,FOREIGN_EXCHANGE,Transaksi valuta asing untuk ekspor,008,ATM,IDR,suspicious_large,100,True,True,False
TXN_000049,2023-03-11 15:38:00,CORP_PT_0031_001,PT. LEMO JAYA,76.900.185.3-474.984,CORP_SH_0008_001,UD HARAPAN BARU,30.255.619.5-873.935,4350954396,LARGE_TRANSFER,Transfer dana operasional ke UD HARAPAN BARU,014,ATM,IDR,suspicious_large,100,True,True,False
TXN_000050,2023-04-23 16:32:00,CORP_PT_0028_001,PT KOP. WARGA JAYA,56.542.424.1-852.743,CORP_SH_0002_001,UD HARAPAN BARU,55.723.617.3-802.898,1728848161,LOAN_ADVANCE,Pinjaman/advance kepada UD HARAPAN BARU,014,INTERNET_BANKING,IDR,layering,100,True,True,True
TXN_000051,2024-10-07 16:00:00,CORP_SH_0022_001,PT JAYA MAKMUR,36.873.212.4-663.479,CORP_SH_0004_001,PT OMEGA PRIMA,14.169.469.4-148.900,509426846,INTER_COMPANY_TRANSFER,Transfer antar perusahaan grup,009,MOBILE_BANKING,IDR,layering,100,True,True,False
TXN_000052,2023-10-26 14:07:00,CORP_PT_0010_001,PT. Sawit Sukses Sejahtera,69.926.297.2-285.928,CORP_PT_0035_001,PT. BORNEO EKA SAWIT TANGGUH,22.318.405.7-351.158,4795439138,INVESTMENT,Investasi/penyertaan modal,008,RTGS,IDR,suspicious_large,100,True,True,False
TXN_000053,2024-11-07 06:58:26,CORP_PT_0037_001,PT. Kintap Jaya Wattindo,70.297.523.3-669.314,CORP_SH_0025_001,UD CAHAYA MANDIRI,30.130.601.3-205.699,46215009,TRANSFER,Transfer dari PT. Kintap Jaya Wattindo ke UD CAHAYA MANDIRI,014,RTGS,IDR,suspicious_structuring,100,True,False,False
TXN_000054,2025-04-01 16:28:28,CORP_PT_0067_001,PT. HASFARM NAPU,71.108.110.4-799.194,CORP_PT_0061_001,PT. IRMASULINDO BLOK 1,38.488.612.9-158.573,1238126860,LOAN_ADVANCE,Pinjaman/advance kepada PT. IRMASULINDO BLOK 1,014,BRANCH,IDR,layering,100,True,True,False
TXN_000055,2025-05-17 11:43:12,0195618585355,Indra Kusuma,61.575.760.3-848.598,0146506548414,Budi Kusuma,30.616.971.8-506.321,39524690,UTILITY_PAYMENT,Transfer dari Indra Kusuma ke Budi Kusuma,011,INTERNET_BANKING,IDR,legitimate,15,False,False,False
TXN_000056,2024-04-15 13:12:00,CORP_PT_0065_001,PT. KODECO MAMBERAMO,73.614.489.1-814.403,CORP_SH_0006_001,CV NUSA INDAH,92.227.623.9-444.103,2492176188,INVESTMENT,Investasi/penyertaan modal,011,MOBILE_BANKING,IDR,suspicious_large,100,True,True,False
TXN_000057,2025-02-12 05:20:58,0163063041388,Gina Gunawan,89.219.280.5-288.964,0141415160001,Hadi Gunawan,70.118.362.7-685.171,2780706,UTILITY_PAYMENT,Transfer dari Gina Gunawan ke Hadi Gunawan,009,INTERNET_BANKING,IDR,legitimate,15,False,False,False
TXN_000058,2024-10-15 07:13:01,0091861734910,Ahmad Wibowo,25.128.181.2-250.224,CORP_PT_0071_001,PTGUNUNG SYNAJI,97.611.140.8-421.959,29817336,UTILITY_PAYMENT,Transfer dari Ahmad Wibowo ke PTGUNUNG SYNAJI,014,ATM,IDR,legitimate,20,False,False,False
TXN_000059,2024-04-06 09:20:00,CORP_PT_0046_001,PT. Sepanjang Inti Surya Abadi,29.457.164.5-993.607,CORP_PT_0050_001,PT. Jalin Vaneo,21.808.866.2-399.954,667670765,CAPITAL_INJECTION,Penambahan modal perusahaan,009,ATM,IDR,layering,100,True,True,False
TXN_000060,2024-07-26 23:19:36,0146801493141,Eko Kusuma,66.739.860.8-192.870,0197057511897,Joko Wibowo,15.150.525.1-607.603,20953969,SALARY_PAYMENT,Pembayaran gaji karyawan dari Eko Kusuma,009,RTGS,IDR,legitimate,5,False,False,False
TXN_000061,2025-04-26 18:05:54,0197293532033,Gina Kusuma,83.225.393.2-884.774,0149984671724,Eko Putra,82.250.924.6-202.506,24851315,TAX_PAYMENT,Pembayaran pajak perusahaan,013,RTGS,IDR,legitimate,5,False,False,False
TXN_000062,2024-10-19 13:24:00,CORP_PT_0017_001,PT. Agro Indomas-EK,77.264.924.5-545.210,CORP_SH_0027_001,UD HARAPAN BARU,97.814.959.2-958.291,1232733162,LARGE_TRANSFER,Transfer dana operasional ke UD HARAPAN BARU,014,INTERNET_BANKING,IDR,suspicious_large,100,True,True,False
TXN_000063,2024-06-29 01:40:41,CORP_PT_0019_001,PT. ADI HARDIAN BERSAUDARA,52.343.525.5-872.126,0223065507416,Joko Pratama,35.395.469.6-652.351,47579314,TRANSFER,Transfer dari PT. ADI HARDIAN BERSAUDARA ke Joko Pratama,008,RTGS,IDR,suspicious_structuring,80,True,False,False
TXN_000064,2024-08-04 12:41:41,CORP_PT_0066_001,PT. PENGEMBANGAN SUTRA ALAM,66.257.498.7-234.766,0147081848833,Joko Sari,55.562.359.1-554.531,34342680,TAX_PAYMENT,Pembayaran pajak perusahaan,008,BRANCH,IDR,legitimate,7,False,False,False
TXN_000065,2023-04-26 13:53:00,CORP_SH_0012_001,UD CAHAYA MANDIRI,14.275.216.8-603.906,0117815794619,Indra Pratama,34.876.647.1-490.625,1004187782,CAPITAL_INJECTION,Penambahan modal perusahaan,011,RTGS,IDR,layering,100,True,True,False
TXN_000066,2024-06-05 16:16:37,0112182351348,Gina Pratama,83.365.584.2-883.640,CORP_PT_0004_001,PT. Imperindo Hasta Eka,14.923.690.6-238.835,10695342,TAX_PAYMENT,Pembayaran pajak perusahaan,011,INTERNET_BANKING,IDR,legitimate,7,False,False,False
TXN_000067,2024-06-12 09:00:33,CORP_PT_0030_001,PT. PULANG PISAU PERDANA,73.119.813.7-569.466,0192838044507,Dewi Putra,74.207.738.6-400.572,9606944,SUPPLIER_PAYMENT,Pembayaran supplier untuk Dewi Putra,013,MOBILE_BANKING,IDR,legitimate,13,False,False,False
TXN_000068,2024-12-20 16:08:44,CORP_PT_0069_001,PT. KAWISAN CENTRAL ASIA,38.696.668.1-854.572,CORP_SH_0019_001,UD CAHAYA MANDIRI,84.155.448.3-823.316,1080683005,INTER_COMPANY_TRANSFER,Transfer antar perusahaan grup,013,ATM,IDR,layering,100,True,True,False
TXN_000069,2025-02-05 22:48:43,CORP_PT_0025_001,PT. SURYA MAS CITRA PERKASA,22.459.101.8-894.394,CORP_PT_0046_001,PT. Sepanjang Inti Surya Abadi,29.457.164.5-993.607,11056651,SALARY_PAYMENT,Pembayaran gaji karyawan dari PT. SURYA MAS CITRA PERKASA,009,INTERNET_BANKING,IDR,legitimate,12,False,False,False
TXN_000070,2024-06-30 14:54:50,CORP_PT_0045_001,PT. Surya Mukti Perkasa,73.250.402.9-320.368,CORP_SH_0025_001,UD CAHAYA MANDIRI,30.130.601.3-205.699,47338431,WITHDRAWAL,Transfer dari PT. Surya Mukti Perkasa ke UD CAHAYA MANDIRI,013,INTERNET_BANKING,IDR,suspicious_structuring,100,True,False,False
TXN_000071,2024-08-14 21:00:39,0112182351348,Gina Pratama,83.365.584.2-883.640,0137520959114,Indra Putra,58.915.471.8-363.663,34973130,UTILITY_PAYMENT,Transfer dari Gina Pratama ke Indra Putra,008,BRANCH,IDR,legitimate,15,False,False,False
TXN_000072,2025-03-31 10:11:50,0091861734910,Ahmad Wibowo,25.128.181.2-250.224,0145297205307,Dewi Santoso,46.435.408.1-485.142,39162468,UTILITY_PAYMENT,Transfer dari Ahmad Wibowo ke Dewi Santoso,014,INTERNET_BANKING,IDR,legitimate,15,False,False,False
TXN_000073,2024-08-28 07:57:23,0087919635296,Budi Putra,29.854.852.8-551.437,CORP_PT_0003_001,PT. Dewi Anthika Bahari,56.295.933.8-863.628,15762295,UTILITY_PAYMENT,Transfer dari Budi Putra ke PT. Dewi Anthika Bahari,008,BRANCH,IDR,legitimate,20,False,False,False
TXN_000074,2024-11-12 01:05:52,0086900514074,Joko Wibowo,86.475.693.9-441.562,0089398065824,Fitri Wibowo,19.206.740.6-386.603,27236120,UTILITY_PAYMENT,Transfer dari Joko Wibowo ke Fitri Wibowo,008,RTGS,IDR,legitimate,15,False,False,False
TXN_000075,2025-01-07 16:55:03,CORP_PT_0019_001,PT. ADI HARDIAN BERSAUDARA,52.343.525.5-872.126,CORP_SH_0018_001,PT DUTA SEJAHTERA,70.907.394.1-425.112,47480180,TRANSFER,Transfer dari PT. ADI HARDIAN BERSAUDARA ke PT DUTA SEJAHTERA,013,ATM,IDR,suspicious_structuring,99,True,False,False
TXN_000076,2025-01-01 01:06:34,CORP_PT_0043_001,PT. Natuna Inti Makmur,52.628.660.9-833.941,CORP_SH_0001_001,CV EMAS KENCANA,69.554.254.4-447.824,3744591795,INVESTMENT,Investasi/penyertaan modal,014,INTERNET_BANKING,IDR,suspicious_large,100,True,True,False
TXN_000077,2024-06-11 19:52:01,CORP_PT_0020_001,PT. TANAH TUNJUNG PLATEU,54.146.404.1-891.191,CORP_SH_0010_001,UD INDAH PERMAI,95.976.134.1-366.450,45271426,WITHDRAWAL,Transfer dari PT. TANAH TUNJUNG PLATEU ke UD INDAH PERMAI,013,BRANCH,IDR,suspicious_structuring,100,True,False,False
TXN_000078,2025-01-22 02:27:52,CORP_SH_0016_001,CV BERKAH NUSANTARA,67.234.910.8-244.518,CORP_SH_0005_001,CV KARYA UTAMA,31.331.716.4-484.312,1987709397,LOAN_ADVANCE,Pinjaman/advance kepada CV KARYA UTAMA,013,MOBILE_BANKING,IDR,layering,100,True,True,False
TXN_000079,2024-06-08 07:29:34,CORP_PT_0052_001,PT. Kapuas Bio Agro,16.907.490.7-339.874,0111843246774,Indra Putra,37.313.413.7-556.536,4102955,UTILITY_PAYMENT,Transfer dari PT. Kapuas Bio Agro ke Indra Putra,008,INTERNET_BANKING,IDR,legitimate,19,False,False,False
TXN_000080,2023-09-02 18:25:00,CORP_PT_0058_001,PT. ADI JAYA MULIA,53.522.359.1-777.246,CORP_PT_0061_001,PT. IRMASULINDO BLOK 1,38.488.612.9-158.573,643007192,LOAN_ADVANCE,Pinjaman/advance kepada PT. IRMASULINDO BLOK 1,009,MOBILE_BANKING,IDR,layering,100,True,True,False
TXN_000081,2024-04-05 17:58:00,CORP_PT_0029_001,PT. SANGKOWONG SINTA,52.193.144.1-416.456,CORP_SH_0018_001,PT DUTA SEJAHTERA,70.907.394.1-425.112,1458773860,FOREIGN_EXCHANGE,Transaksi valuta asing untuk ekspor,009,INTERNET_BANKING,IDR,suspicious_large,100,True,True,False
TXN_000082,2025-03-26 00:02:29,0145518299270,Indra Gunawan,13.936.468.3-114.335,0191406007872,Eko Pratama,34.684.925.3-198.857,43436208,SUPPLIER_PAYMENT,Pembayaran supplier untuk Eko Pratama,009,BRANCH,IDR,legitimate,10,False,False,False
TXN_000083,2025-02-04 01:35:39,0162677163508,Fitri Putra,13.330.355.6-842.166,CORP_PT_0002_001,PT. Borneo Indah Marjaya,69.286.601.8-110.423,12660048,UTILITY_PAYMENT,Transfer dari Fitri Putra ke PT. Borneo Indah Marjaya,011,INTERNET_BANKING,IDR,legitimate,18,False,False,False
TXN_000084,2024-06-26 12:28:22,CORP_PT_0046_001,PT. Sepanjang Inti Surya Abadi,29.457.164.5-993.607,CORP_SH_0021_001,UD MAJU BERSAMA,61.963.268.9-848.469,47999396,TRANSFER,Transfer dari PT. Sepanjang Inti Surya Abadi ke UD MAJU BERSAMA,013,ATM,IDR,suspicious_structuring,100,True,False,False
TXN_000085,2025-03-20 01:47:48,0192155623377,Ahmad Sari,38.712.670.7-502.655,0083213680520,Sari Sari,37.800.923.2-867.620,29822524,LOAN_PAYMENT,Transfer dari Ahmad Sari ke Sari Sari,008,MOBILE_BANKING,IDR,legitimate,15,False,False,False
TXN_000086,2024-10-18 22:53:31,CORP_PT_0063_001,PT. NUSA IRIAN JAYA INDAH,36.514.141.6-464.630,0226008508116,Fitri Kusuma,83.445.872.3-831.605,49812735,TRANSFER,Transfer dari PT. NUSA IRIAN JAYA INDAH ke Fitri Kusuma,011,INTERNET_BANKING,IDR,suspicious_structuring,82,True,False,False
