transaction_id,transaction_date,transaction_time,sender_account_id,sender_company,sender_bank,receiver_account_id,receiver_company,receiver_bank,amount_idr,transaction_type,transaction_purpose,risk_score,is_flagged,is_cross_border,reference_number,processing_bank,case_related,scenario
TXN_000057,2023-06-08,12:41:36,ACC_1000177,PT. Wira Karya Nusantari,Danamon,ACC_1000433,UD MAJU BERSAMA,BTN,1850593052,layering,Transfer antar perusahaan,92,True,False,REF796377,BCA,False,background
TXN_000059,2023-09-04,03:33:45,ACC_1000062,PT DITJEN PERIKANAN,BRI,ACC_1000029,PT. Sawit Sukses Sejahtera,BTN,393810083,structuring,Transfer modal kerja,91,True,False,REF589060,BCA,False,background
TXN_000060,2025-05-17,04:24:54,ACC_1000126,PT. GRAHA INDO SAWIT ANDAL TUNGGAL,OCBC NISP,ACC_1000377,UD BERKAH NUSANTARA,BCA,4299260775,placement,Setoran modal,100,True,False,REF473314,BNI,False,background
TXN_000061,2024-06-22,02:29:37,ACC_1000406,PT HARAPAN BARU,Mandiri,ACC_1000133,PT. RIMBA SAWIT UTAMA PLANINDO,BRI,8990817926,placement,Setoran modal,100,True,False,REF527032,BCA,False,background
TXN_000066,2025-04-03,20:25:26,ACC_1000086,PT. WANA SAWIT SUBUR LESTARI,BTN,ACC_1000285,UD MAJU BERSAMA,BTN,7351568436,placement,Setoran modal,100,True,False,REF392806,Mandiri,False,background
TXN_000069,2025-04-15,13:31:10,ACC_1000178,PT. Wira Karya Nusantari,OCBC NISP,ACC_1000116,PT. LEMO JAYA,OCBC NISP,3525426813,placement,Setoran modal,100,True,False,REF635550,BCA,False,background
TXN_000074,2024-12-07,13:41:51,ACC_1000127,PT. GRAHA INDO SAWIT ANDAL TUNGGAL,BNI,ACC_1000040,PT. Uni Andalan Utama,BNI,267455529,layering,Transfer antar perusahaan,80,True,False,REF742166,BNI,False,background
TXN_000079,2023-09-01,18:14:40,ACC_1000371,CV EMAS KENCANA,Mandiri,ACC_1000343,PT HARAPAN BARU,BCA,357928255,structuring,Transfer modal kerja,87,True,False,REF165780,BNI,False,background
TXN_000085,2025-03-22,07:07:16,ACC_1000340,PT HARAPAN BARU,BTN,ACC_1000202,PT. Buana Tunas Sejahtera,Danamon,2654269294,placement,Setoran modal,100,True,False,REF837775,Mandiri,False,background
TXN_000087,2024-06-10,00:17:12,ACC_1000340,PT HARAPAN BARU,BTN,ACC_1000152,PT. Bersama Sejahtera Sakti,BTN,5528186368,placement,Setoran modal,100,True,False,REF299069,BNI,False,background
TXN_000089,2025-05-16,17:52:36,ACC_1000369,UD MAJU BERSAMA,BRI,ACC_1000261,PT. BAHRUNY,OCBC NISP,337334344,layering,Transfer antar perusahaan,100,True,False,REF757773,BNI,False,background
TXN_000094,2023-06-06,12:39:59,ACC_1000045,PT. Manggala Dharma Putra,BNI,ACC_1000021,PT. Kartika Propitaganda,BCA,5789577460,placement,Setoran modal,86,True,False,REF255495,Mandiri,False,background
TXN_000095,2024-03-11,22:24:34,ACC_1000331,PT GEMILANG ABADI,OCBC NISP,ACC_1000218,PT. IRMASULINDO BLOK 2,Danamon,378363660,structuring,Transfer modal kerja,83,True,False,REF772959,BRI,False,background
TXN_000098,2025-04-29,17:08:51,ACC_1000451,PT CAHAYA MANDIRI,OCBC NISP,ACC_1000278,PT LESTARI MANDIRI,BNI,2947175368,placement,Setoran modal,92,True,False,REF943641,BRI,False,background
TXN_000100,2024-01-26,13:32:35,ACC_1000341,PT HARAPAN BARU,BCA,ACC_1000040,PT. Uni Andalan Utama,BNI,343969213,structuring,Transfer modal kerja,90,True,False,REF330567,BNI,False,background
TXN_000107,2025-05-15,17:53:39,ACC_1000453,PT CAHAYA MANDIRI,Maybank,ACC_1000425,PT LESTARI MANDIRI,BCA,1153168436,layering,Transfer antar perusahaan,99,True,False,REF172200,BRI,False,background
TXN_000108,2025-03-13,00:22:35,ACC_1000172,PT. Surya Mukti Perkasa,Mandiri,ACC_1000185,PT. Kayung Agro Lestari,CIMB Niaga,6281710647,placement,Setoran modal,86,True,False,REF289023,BCA,False,background
TXN_000109,2024-06-07,05:54:33,ACC_1000388,PT INDAH PERMAI,Permata,ACC_1000351,CV KARYA UTAMA,OCBC NISP,360697843,structuring,Transfer modal kerja,100,True,False,REF987071,Mandiri,False,background
TXN_000111,2023-08-22,03:21:14,ACC_1000411,CV KARYA UTAMA,Danamon,ACC_1000080,PT. AGRO CITY KALTIM,CIMB Niaga,8476163733,placement,Setoran modal,100,True,False,REF726462,BRI,False,background
TXN_000114,2023-06-27,23:51:29,ACC_1000118,PT. LEMO JAYA,BCA,ACC_1000137,PT. BORNEO EKA SAWIT TANGGUH,Permata,989483463,integration,Investasi bisnis,79,True,False,REF380761,BCA,False,background
TXN_000115,2025-03-31,11:44:29,ACC_1000416,CV KARYA UTAMA,Maybank,ACC_1000219,PT. IRMASULINDO BLOK 2,Danamon,343019267,structuring,Transfer modal kerja,100,True,False,REF489517,BCA,False,background
TXN_000118,2025-03-03,19:09:05,ACC_1000134,PT. BORNEO EKA SAWIT TANGGUH,BCA,ACC_1000268,PT. CIMELATI UTAMA,Permata,3728225765,placement,Setoran modal,91,True,False,REF120033,BCA,False,background
TXN_000121,2024-03-07,07:29:52,ACC_1000078,PTPN XIII,CIMB Niaga,ACC_1000290,PT LESTARI MANDIRI,Maybank,8606905948,placement,Setoran modal,100,True,False,REF932885,BRI,False,background
TXN_000122,2024-03-13,05:07:12,ACC_1000099,PT. BERKAH ALAM FAJAR MAS,Danamon,ACC_1000152,PT. Bersama Sejahtera Sakti,BTN,1997303641,layering,Transfer antar perusahaan,87,True,True,REF914929,BRI,False,background
TXN_000123,2025-04-30,09:06:34,ACC_1000317,CV KARYA UTAMA,BRI,ACC_1000055,PT. Kaltim Bangun Jaya,BRI,1431546704,integration,Investasi bisnis,85,True,False,REF673726,Mandiri,False,background
TXN_000125,2025-04-12,23:57:54,ACC_1000220,PT. IRMASULINDO BLOK 2,Mandiri,ACC_1000346,CV KARYA UTAMA,Mandiri,1350867803,layering,Transfer antar perusahaan,88,True,False,REF906914,BRI,False,background
TXN_000126,2023-08-28,01:00:26,ACC_1000331,PT GEMILANG ABADI,OCBC NISP,ACC_1000272,PT. LARAS EKAMULIA,CIMB Niaga,1489623576,layering,Transfer antar perusahaan,100,True,False,REF932045,BCA,False,background
TXN_000127,2025-03-06,13:22:48,ACC_1000344,PT HARAPAN BARU,BRI,ACC_1000345,CV KARYA UTAMA,Mandiri,392873813,structuring,Transfer modal kerja,82,True,False,REF698484,BRI,False,background
TXN_000128,2023-06-15,00:35:37,ACC_1000197,PT. Airlangga Sawit Jaya,Permata,ACC_1000366,UD MAJU BERSAMA,Danamon,808995976,integration,Investasi bisnis,97,True,False,REF125765,BNI,False,background
TXN_000137,2024-02-16,22:23:33,ACC_1000138,PT. BORNEO EKA SAWIT TANGGUH,OCBC NISP,ACC_1000432,UD MAJU BERSAMA,BTN,397723505,structuring,Transfer modal kerja,82,True,False,REF581319,BNI,False,background
TXN_000138,2023-11-17,15:10:19,ACC_1000380,PT GEMILANG ABADI,BTN,ACC_1000129,PT. RIMBA SAWIT UTAMA PLANINDO,Mandiri,399182679,structuring,Transfer modal kerja,83,True,False,REF877621,BNI,False,background
TXN_000142,2025-01-16,16:55:25,ACC_1000231,PT. KODECO MAMBERAMO,CIMB Niaga,ACC_1000342,PT HARAPAN BARU,Maybank,376859780,structuring,Transfer modal kerja,92,True,False,REF242280,Mandiri,False,background
TXN_000144,2025-02-20,00:17:25,ACC_1000435,UD MAJU BERSAMA,BTN,ACC_1000311,UD OMEGA PRIMA,Permata,6960471047,placement,Setoran modal,100,True,False,REF883051,Mandiri,False,background
TXN_000149,2024-10-01,04:41:21,ACC_1000100,PT. BERKAH ALAM FAJAR MAS,BTN,ACC_1000199,PT. Kapuas Bio Agro,BNI,339846765,structuring,Transfer modal kerja,84,True,False,REF128964,BCA,False,background
TXN_000155,2025-05-01,02:57:53,ACC_1000010,PT. Imperindo Hasta Eka,Danamon,ACC_1000124,PT. GRAHA INDO SAWIT ANDAL TUNGGAL,BRI,1027216438,layering,Transfer antar perusahaan,98,True,False,REF747647,BNI,False,background
TXN_000157,2023-11-28,20:50:31,ACC_1000235,PT. KODECO MAMBERAMO,BNI,ACC_1000081,PT. AGRO CITY KALTIM,Maybank,1456635261,integration,Investasi bisnis,100,True,False,REF130270,BCA,False,background
TXN_000159,2025-03-10,15:08:59,ACC_1000345,CV KARYA UTAMA,Mandiri,ACC_1000020,PT. Nadia Humaira,Maybank,1137649605,placement,Setoran modal,100,True,False,REF188413,BCA,False,background
TXN_000163,2023-09-29,08:20:48,ACC_1000448,PT HARAPAN BARU,BCA,ACC_1000411,CV KARYA UTAMA,Danamon,330303232,structuring,Transfer modal kerja,100,True,False,REF795747,BNI,False,background
TXN_000170,2024-04-16,14:39:32,ACC_1000449,PT CAHAYA MANDIRI,CIMB Niaga,ACC_1000001,PT. Sena Bangun Aneka Pertiwi,OCBC NISP,689853899,layering,Transfer antar perusahaan,100,True,False,REF627945,BNI,False,background
TXN_000172,2024-12-03,16:19:04,ACC_1000018,PT. Multi Jayantara Abadi,BTN,ACC_1000333,PT GEMILANG ABADI,Danamon,327239886,structuring,Transfer modal kerja,86,True,False,REF202839,BRI,False,background
TXN_000173,2024-04-20,09:54:00,ACC_1000278,PT LESTARI MANDIRI,BNI,ACC_1000288,PT LESTARI MANDIRI,CIMB Niaga,4983873641,integration,Investasi bisnis,100,True,False,REF364968,Mandiri,False,background
TXN_000174,2024-08-19,23:04:57,ACC_1000230,PT. KODECO MAMBERAMO,BTN,ACC_1000205,PT. Buana Tunas Sejahtera,OCBC NISP,9389796376,placement,Setoran modal,100,True,False,REF394029,BNI,False,background
TXN_000177,2023-11-20,23:15:55,ACC_1000371,CV EMAS KENCANA,Mandiri,ACC_1000060,PT. Agro Indomas-EK,BCA,1712479682,integration,Investasi bisnis,92,True,False,REF874807,BNI,False,background
TXN_000182,2024-03-16,15:58:45,ACC_1000257,PT. Naga Manis Plantation,BRI,ACC_1000175,PT. Wira Karya Nusantari,Permata,2949906087,placement,Setoran modal,100,True,False,REF955754,BRI,False,background
TXN_000183,2023-11-26,11:58:28,ACC_1000284,UD MAJU BERSAMA,Mandiri,ACC_1000345,CV KARYA UTAMA,Mandiri,3862851566,placement,Setoran modal,100,True,False,REF631713,BNI,False,background
TXN_000186,2025-04-06,15:13:01,ACC_1000003,PT. Borneo Indah Marjaya,Mandiri,ACC_1000344,PT HARAPAN BARU,BRI,3249955238,integration,Investasi bisnis,100,True,False,REF369004,BRI,False,background
TXN_000190,2024-03-20,21:25:46,ACC_1000057,PT. Agro Indomas-EK,BNI,ACC_1000157,PT. Sawita Karya Manunggal (SKM),BTN,355079820,structuring,Transfer modal kerja,97,True,False,REF566628,Mandiri,False,background
TXN_000191,2025-04-19,07:32:37,ACC_1000292,PT LESTARI MANDIRI,BNI,ACC_1000354,CV NUSA INDAH,BRI,386025444,structuring,Transfer modal kerja,80,True,False,REF936257,BNI,False,background
TXN_000194,2024-01-11,04:44:08,ACC_1000108,PT. SANGKOWONG SINTA,BRI,ACC_1000162,PT. Golden Land Makmur,CIMB Niaga,445612642,layering,Transfer antar perusahaan,96,True,False,REF469585,Mandiri,False,background
TXN_000201,2024-11-26,19:30:47,ACC_1000331,PT GEMILANG ABADI,OCBC NISP,ACC_1000336,PT GEMILANG ABADI,Permata,273025259,layering,Transfer antar perusahaan,100,True,False,REF109211,BCA,False,background
TXN_000202,2023-12-29,23:01:35,ACC_1000228,PT. VARITA MAJUTAMA (BLOK A),BRI,ACC_1000242,PT. HASFARM NAPU,CIMB Niaga,2640346450,placement,Setoran modal,100,True,False,REF344214,BNI,False,background
TXN_000204,2025-04-19,20:23:20,ACC_1000195,PT. Airlangga Sawit Jaya,Maybank,ACC_1000394,PT HARAPAN BARU,Maybank,2909113668,integration,Investasi bisnis,100,True,False,REF349197,BRI,False,background
TXN_000212,2025-03-19,15:16:06,ACC_1000156,PT. Inti Gerak Maju,CIMB Niaga,ACC_1000306,PT HARAPAN BARU,Maybank,374663905,structuring,Transfer modal kerja,75,True,False,REF628967,BRI,False,background
TXN_000213,2025-03-22,01:45:05,ACC_1000235,PT. KODECO MAMBERAMO,BNI,ACC_1000266,PT. CIMELATI UTAMA,OCBC NISP,6876968667,placement,Setoran modal,100,True,False,REF440865,Mandiri,False,background
TXN_000215,2025-04-24,23:35:53,ACC_1000093,PT. SURYA MAS CITRA PERKASA,Permata,ACC_1000061,PT. Agro Indomas-EK,CIMB Niaga,1888407230,integration,Investasi bisnis,81,True,False,REF252189,Mandiri,False,background
TXN_000217,2025-05-03,12:17:26,ACC_1000344,PT HARAPAN BARU,BRI,ACC_1000272,PT. LARAS EKAMULIA,CIMB Niaga,366105440,structuring,Transfer modal kerja,87,True,False,REF278598,BRI,False,background
TXN_000218,2025-05-21,04:12:17,ACC_1000278,PT LESTARI MANDIRI,BNI,ACC_1000181,PT. Khatulistiwa Agro Abadi,CIMB Niaga,626976145,integration,Investasi bisnis,100,True,False,REF294851,Mandiri,False,background
TXN_000219,2025-05-09,07:39:35,ACC_1000394,PT HARAPAN BARU,Maybank,ACC_1000085,PT. WANA SAWIT SUBUR LESTARI,BTN,371245145,structuring,Transfer modal kerja,79,True,False,REF663259,BCA,False,background
TXN_000220,2024-01-10,08:44:11,ACC_1000223,PT. IRMASULINDO BLOK 2,Mandiri,ACC_1000254,PTPERKEBUNAN XVIII/PN VII,CIMB Niaga,3703615110,integration,Investasi bisnis,98,True,True,REF320959,BCA,False,background
TXN_000225,2024-09-22,12:06:18,ACC_1000284,UD MAJU BERSAMA,Mandiri,ACC_1000365,UD MAJU BERSAMA,BRI,863033823,layering,Transfer antar perusahaan,100,True,False,REF136208,BNI,False,background
TXN_000230,2024-02-13,09:29:38,ACC_1000247,PT. KAWISAN CENTRAL ASIA,BTN,ACC_1000203,PT. Buana Tunas Sejahtera,OCBC NISP,586052439,layering,Transfer antar perusahaan,74,True,False,REF439355,BRI,False,background
TXN_000231,2025-02-25,18:17:17,ACC_1000160,PT. Golden Land Makmur,Mandiri,ACC_1000202,PT. Buana Tunas Sejahtera,Danamon,5231295966,placement,Setoran modal,100,True,False,REF971439,BNI,False,background
TXN_000235,2025-04-03,13:12:28,ACC_1000329,UD MAJU BERSAMA,Danamon,ACC_1000238,PT. PENGEMBANGAN SUTRA ALAM,Danamon,1036844404,layering,Transfer antar perusahaan,89,True,False,REF515206,BNI,False,background
TXN_000240,2025-03-29,01:25:50,ACC_1000449,PT CAHAYA MANDIRI,CIMB Niaga,ACC_1000055,PT. Kaltim Bangun Jaya,BRI,5630175134,placement,Setoran modal,100,True,False,REF126396,BNI,False,background
TXN_000241,2025-04-04,23:19:01,ACC_1000315,UD OMEGA PRIMA,CIMB Niaga,ACC_1000077,PTPN XIII,CIMB Niaga,1262803649,layering,Transfer antar perusahaan,93,True,False,REF126159,BRI,False,background
TXN_000246,2023-08-19,11:47:58,ACC_1000201,PT. Bumi Tani Jaya,Danamon,ACC_1000452,PT CAHAYA MANDIRI,Maybank,8211006794,placement,Setoran modal,100,True,False,REF231177,BNI,False,background
TXN_000249,2023-06-26,21:32:15,ACC_1000191,PT. Jalin Vaneo,Permata,ACC_1000186,PT. Kayung Agro Lestari,Mandiri,760526409,layering,Transfer antar perusahaan,93,True,False,REF111441,BCA,False,background
TXN_000252,2024-11-01,13:33:36,ACC_1000020,PT. Nadia Humaira,Maybank,ACC_1000300,PT LESTARI MANDIRI,BNI,3349827274,placement,Setoran modal,100,True,False,REF338745,BNI,False,background
TXN_000254,2025-05-24,18:33:29,ACC_1000328,UD MAJU BERSAMA,BNI,ACC_1000252,PTGUNUNG SYNAJI,Danamon,1012593642,layering,Transfer antar perusahaan,98,True,False,REF597720,BNI,False,background
TXN_000257,2024-09-29,13:30:50,ACC_1000170,PT. Surya Mukti Perkasa,BCA,ACC_1000314,UD OMEGA PRIMA,OCBC NISP,1024169288,layering,Transfer antar perusahaan,91,True,False,REF205123,BRI,False,background
TXN_000258,2025-03-26,10:31:43,ACC_1000056,PT. Kaltim Bangun Jaya,CIMB Niaga,ACC_1000268,PT. CIMELATI UTAMA,Permata,324112884,structuring,Transfer modal kerja,72,True,False,REF188663,BNI,False,background
TXN_000261,2025-04-19,18:34:34,ACC_1000212,PT. Sumber Sawit Sintang,BCA,ACC_1000229,PT. KODECO MAMBERAMO,BTN,4743685391,placement,Setoran modal,100,True,False,REF671102,Mandiri,False,background
TXN_000269,2024-08-26,11:40:37,ACC_1000175,PT. Wira Karya Nusantari,Permata,ACC_1000032,PT. Sawit Sukses Sejahtera,CIMB Niaga,4363628001,integration,Investasi bisnis,99,True,False,REF995244,BRI,False,background
TXN_000275,2025-04-27,12:01:27,ACC_1000381,PT GEMILANG ABADI,Maybank,ACC_1000161,PT. Golden Land Makmur,BCA,5455314646,placement,Setoran modal,100,True,False,REF284930,Mandiri,False,background
TXN_000277,2025-02-27,07:16:45,ACC_1000020,PT. Nadia Humaira,Maybank,ACC_1000079,PT. AGRO CITY KALTIM,BNI,595029841,layering,Transfer antar perusahaan,100,True,True,REF838347,BNI,False,background
TXN_000284,2023-06-16,21:43:29,ACC_1000305,PT HARAPAN BARU,Danamon,ACC_1000408,CV DUTA SEJAHTERA,BRI,472423530,layering,Transfer antar perusahaan,89,True,False,REF301811,BRI,False,background
TXN_000291,2023-06-15,09:54:59,ACC_1000453,PT CAHAYA MANDIRI,Maybank,ACC_1000100,PT. BERKAH ALAM FAJAR MAS,BTN,1709613341,layering,Transfer antar perusahaan,100,True,False,REF633863,BCA,False,background
TXN_000293,2023-06-06,17:00:19,ACC_1000349,CV KARYA UTAMA,Permata,ACC_1000052,PT. Wara Nusantara,Maybank,557410898,integration,Investasi bisnis,81,True,False,REF540247,Mandiri,False,background
TXN_000294,2023-08-13,23:46:57,ACC_1000224,PT. NUSA IRIAN JAYA INDAH,BNI,ACC_1000193,PT. Jalin Vaneo,BRI,112285489,layering,Transfer antar perusahaan,100,True,False,REF197015,BNI,False,background
TXN_000297,2023-12-17,05:42:35,ACC_1000146,PT. Damit Mitra Sekawan,Maybank,ACC_1000242,PT. HASFARM NAPU,CIMB Niaga,1285034752,layering,Transfer antar perusahaan,81,True,False,REF674768,Mandiri,False,background
TXN_000301,2025-03-04,17:34:07,ACC_1000265,PT. INCASI RAYA,CIMB Niaga,ACC_1000380,PT GEMILANG ABADI,BTN,1348955750,layering,Transfer antar perusahaan,100,True,False,REF876515,BNI,False,background
TXN_000302,2025-04-24,12:53:10,ACC_1000305,PT HARAPAN BARU,Danamon,ACC_1000232,PT. KODECO MAMBERAMO,BCA,1418493081,layering,Transfer antar perusahaan,95,True,False,REF114190,BCA,False,background
TXN_000303,2025-03-12,19:46:43,ACC_1000239,PT. PENGEMBANGAN SUTRA ALAM,CIMB Niaga,ACC_1000259,PT. PERKEBUNAN I (SEBULUSSALAM),BTN,340784149,structuring,Transfer modal kerja,78,True,False,REF910075,BCA,False,background
TXN_000305,2025-04-16,19:51:43,ACC_1000324,UD MAJU BERSAMA,Mandiri,ACC_1000288,PT LESTARI MANDIRI,CIMB Niaga,1569541188,layering,Transfer antar perusahaan,96,True,False,REF664267,Mandiri,False,background
TXN_000307,2025-05-22,07:59:29,ACC_1000185,PT. Kayung Agro Lestari,CIMB Niaga,ACC_1000032,PT. Sawit Sukses Sejahtera,CIMB Niaga,2525304672,integration,Investasi bisnis,89,True,True,REF987336,BCA,False,background
TXN_000308,2025-03-12,09:06:31,ACC_1000301,PT LESTARI MANDIRI,BRI,ACC_1000136,PT. BORNEO EKA SAWIT TANGGUH,Permata,346850578,structuring,Transfer modal kerja,82,True,False,REF574194,BRI,False,background
TXN_000314,2025-03-28,02:53:58,ACC_1000279,PT LESTARI MANDIRI,BTN,ACC_1000240,PT. HASFARM NAPU,BCA,170952518,layering,Transfer antar perusahaan,95,True,True,REF797986,BRI,False,background
TXN_000322,2024-03-02,20:34:32,ACC_1000004,PT. Dewi Anthika Bahari,BCA,ACC_1000435,UD MAJU BERSAMA,BTN,375297278,structuring,Transfer modal kerja,94,True,False,REF293465,Mandiri,False,background
TXN_000327,2024-06-03,11:16:36,ACC_1000295,CV NUSA INDAH,Maybank,ACC_1000413,CV KARYA UTAMA,OCBC NISP,8426367032,placement,Setoran modal,100,True,False,REF663946,BNI,False,background
TXN_000330,2023-06-01,17:48:43,ACC_1000084,PT. WANA SAWIT SUBUR LESTARI,CIMB Niaga,ACC_1000435,UD MAJU BERSAMA,BTN,2757488067,placement,Setoran modal,100,True,False,REF116675,Mandiri,False,background
TXN_000331,2024-02-07,11:19:50,ACC_1000347,CV KARYA UTAMA,BCA,ACC_1000023,PT. Sebatin,BTN,377332155,structuring,Transfer modal kerja,95,True,False,REF866003,BCA,False,background
TXN_000332,2024-05-27,22:43:22,ACC_1000361,PT INDAH PERMAI,BNI,ACC_1000028,PT. Sawit Sukses Sejahtera,Permata,349409292,structuring,Transfer modal kerja,100,True,False,REF118469,BCA,False,background
TXN_000338,2025-03-01,04:19:35,ACC_1000454,PT CAHAYA MANDIRI,Danamon,ACC_1000128,PT. GRAHA INDO SAWIT ANDAL TUNGGAL,OCBC NISP,396261751,structuring,Transfer modal kerja,99,True,False,REF691848,Mandiri,False,background
TXN_000339,2024-11-16,04:43:58,ACC_1000395,PT HARAPAN BARU,BCA,ACC_1000406,PT HARAPAN BARU,Mandiri,320988113,structuring,Transfer modal kerja,82,True,False,REF617201,Mandiri,False,background
TXN_000342,2025-03-15,18:17:49,ACC_1000274,PT. SECONA PERSADA (I),BNI,ACC_1000090,PT. WANASAWIT SUBUR LESTARI,BTN,960427037,layering,Transfer antar perusahaan,88,True,True,REF433560,Mandiri,False,background
TXN_000346,2025-01-19,18:54:24,ACC_1000214,PT. HENRISON INTI PERSADA,Maybank,ACC_1000401,CV PRIMA SEJAHTERA,BRI,3408108215,placement,Setoran modal,100,True,False,REF965921,BCA,False,background
TXN_000348,2025-05-11,00:35:13,ACC_1000341,PT HARAPAN BARU,BCA,ACC_1000178,PT. Wira Karya Nusantari,OCBC NISP,322050249,structuring,Transfer modal kerja,98,True,False,REF200498,Mandiri,False,background
TXN_000349,2023-11-20,03:56:59,ACC_1000134,PT. BORNEO EKA SAWIT TANGGUH,BCA,ACC_1000422,CV JAYA MAKMUR,BRI,4047650905,integration,Investasi bisnis,76,True,False,REF971059,BNI,False,background
TXN_000356,2025-04-29,23:54:52,ACC_1000091,PT. WANASAWIT SUBUR LESTARI,OCBC NISP,ACC_1000212,PT. Sumber Sawit Sintang,BCA,379961167,structuring,Transfer modal kerja,76,True,False,REF760287,BNI,False,background
TXN_000357,2025-04-25,16:10:50,ACC_1000108,PT. SANGKOWONG SINTA,BRI,ACC_1000216,PT. IRMASULINDO BLOK 1,OCBC NISP,3600928498,integration,Investasi bisnis,74,True,False,REF669524,Mandiri,False,background
TXN_000360,2025-03-08,22:49:01,ACC_1000112,PT. PULANG PISAU PERDANA,BCA,ACC_1000244,PT. HASFARM NAPU,Mandiri,1464508382,integration,Investasi bisnis,73,True,False,REF771807,Mandiri,False,background
TXN_000367,2025-04-07,14:11:25,ACC_1000249,PTGUNUNG SYNAJI,OCBC NISP,ACC_1000358,PT INDAH PERMAI,Permata,3787343142,placement,Setoran modal,97,True,False,REF504002,Mandiri,False,background
TXN_000368,2025-04-26,16:43:03,ACC_1000443,UD MAJU BERSAMA,BCA,ACC_1000134,PT. BORNEO EKA SAWIT TANGGUH,BCA,3253021483,placement,Setoran modal,100,True,False,REF779761,BNI,False,background
TXN_000369,2023-12-07,00:25:28,ACC_1000230,PT. KODECO MAMBERAMO,BTN,ACC_1000167,PT. Kaliau Mas Perkasa,BCA,371134166,structuring,Transfer modal kerja,88,True,False,REF879123,BRI,False,background
